Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	39.01787909093568	18.090021221280928	59.02863519549921	0.3735837599036099	7035	4040	0.5849001603264831	0.2596563751453301	1123	0.0	0.0	30.0	1	0.5747492387485775	accepted	n/a
PCA_01	69.57022898539552	24.114116598253414	7.345448470614235	0.07756264414953683	8451	6897	0.690298277033286	0.5461695310224294	1199	11.970519626689036	3.2370457107503906e-26	13.0	-1	0.06606182078884687	accepted	n/a
PCA_02	125.3108358955779	30.80888424971198	8.764415875944016	0.05833627788566387	9163	7044	0.7496600181323663	0.6318869540393948	262	2.03196113742639	0.04283871773532115	11.0	1	0.05696453534727316	accepted	n/a
PCA_03	116.09138830477515	20.000997641136518	4.204453276182794	0.04915126142646161	9686	7481	0.7601275917065391	0.6254428771976737	856	11.318198347461742	2.223698500134714e-28	5.2	1	0.03914186212425554	accepted	n/a
PCA_04	63.04741290976353	25.230622000931188	2.65177598340485	0.03209501015719618	9810	7993	0.7312871907297213	0.626103896103896	896	1.6701358858300706	0.09525963887850776	15.2	1	0.02636515857561307	accepted	n/a
PCA_05	127.59875349515605	19.69851469610399	2.163797695336713	0.028572837609500617	10761	8390	0.8092868988391376	0.6970944161189262	723	10.46405231124431	1.275943816831808e-24	3.2	-1	0.027361762730413994	accepted	n/a
PCA_06	74.19604404294564	21.018436655287974	1.5287163724039505	0.022004476445228717	9794	7551	0.7515810379971777	0.612615126988557	729	8.480696889056127	5.977972832585882e-17	7.4	1	0.0179358260878536	accepted	n/a
PCA_07	41.22282679542774	23.88462422485652	1.4268133516963517	0.019016712111076597	7869	5874	0.660138171574217	0.5184210526315789	722	-0.5928426000460327	0.5533868800962491	22.4	-1	0.015715459861191917	accepted	n/a
PCA_08	76.3122054728936	19.435508976897093	1.699940512626123	0.017291069192786244	11037	9000	0.7945078393171908	0.6930533117932148	737	13.789510925653332	1.6994719303741744e-40	2.8	1	0.020425508058224323	accepted	n/a
PCA_09	54.489021944708696	22.903094610779462	0.8803737308199024	0.015618536976387551	7893	6382	0.6610470275066548	0.5037374065648359	1117	9.798567042363944	5.942765075615711e-20	16.2	1	0.011511334788869253	accepted	n/a
PCA_10	39.62244099056895	24.158117775169146	0.7960714881971072	0.01390346011616545	7483	5684	0.6377283670868149	0.5069107551487414	1013	6.2051555345385205	9.28507483400017e-10	21.8	-1	0.010486784156894014	accepted	n/a
PCA_11	54.41024292508444	19.901110248866157	0.7890805914411307	0.01291270020769961	7844	5467	0.7330988167572754	0.5600532117065754	1021	8.520402090583868	1.249484366853248e-16	13.4	1	0.009349090200422336	accepted	n/a
PCA_12	42.0181924230134	30.581492529562823	0.6552454008916252	0.011198659367097272	7538	6156	0.694292206924208	0.5585874799357945	1258	0.39593399979624966	0.692758794038772	24.8	1	0.008078457156885212	accepted	n/a
PCA_13	86.42019842574	19.329499733238787	0.6096338444751119	0.009461734637324916	8171	6254	0.7817304027442511	0.6717965332901344	726	10.490755223183488	8.720803105082677e-25	5.6	-1	0.006897741254590145	accepted	n/a
PCA_14	62.19035617287469	18.953027905528504	0.6121610741810969	0.008721323853192322	8496	7299	0.7676008623344626	0.6680038732881449	1030	12.704767351892913	1.9749481593042796e-33	7.6	-1	0.008343268020926569	accepted	n/a
PCA_15	50.251908206820715	17.82269310105239	0.4248195675743128	0.007866582280383286	6938	5208	0.750163743541227	0.5734488596753311	1135	10.637010205484566	2.545867478052359e-23	13.8	1	0.005620703981345519	accepted	n/a
PCA_16	67.17313675963231	18.195658126136617	0.45529003522153144	0.007640529741274267	7668	6002	0.7626183502486207	0.6364396854609335	859	11.910676209566377	6.272018154434075e-31	7.8	-1	0.005820981238474243	accepted	n/a
PCA_17	61.228161887385475	16.67000401851339	0.3566817415952741	0.007102833313339295	7823	5413	0.7965604586055193	0.6186711838885752	892	5.041287203575208	5.28919703095237e-07	12.2	-1	0.005158368599145502	accepted	n/a
PCA_18	40.56773551491722	19.118165156104	0.3624333404922986	0.006554479687433779	6199	5071	0.7083436290256157	0.5700741962077494	1140	8.332590755141286	7.327314504114617e-16	19.4	1	0.004792761575438714	accepted	n/a
PCA_19	43.011172746752614	16.586107275310713	0.37697520526651424	0.006202204220859047	6692	5066	0.7475523422202139	0.592183343564559	823	7.943667072911247	4.248693915146149e-15	14.0	1	0.004874659044563259	accepted	n/a
PCA_20	44.89271831104136	15.746888883712101	0.5194341972982708	0.0057008095908811385	6802	4808	0.7582190771045261	0.5902239448751077	990	6.469002441865342	1.729236987259813e-10	14.4	1	0.004592887397965506	accepted	n/a
PCA_21	37.7024221715141	16.204955800548063	0.26043993080136074	0.005192062005122661	5887	4784	0.7334150183791353	0.5793208865596681	1018	10.858870150708983	1.1785112222372818e-25	15.8	-1	0.003838792601029568	accepted	n/a
PCA_22	29.190368170069007	17.26207341462212	0.20423125843514997	0.0049442501004463265	5252	3774	0.672723642172524	0.516173434273916	1077	5.519403180405095	4.5667107110821045e-08	23.6	-1	0.003519247029814514	accepted	n/a
PCA_23	36.356959574506625	17.99005301053405	0.25594587983994943	0.004763276845950627	5159	4025	0.7056396148555708	0.5576635047428856	1151	10.928772951461704	4.4813874597022465e-25	19.4	-1	0.003368780405473279	accepted	n/a
PCA_24	41.28675601314619	13.739516277849308	0.25524180140618924	0.004418290630217514	6307	4447	0.7349162465441536	0.6133393932507669	1139	15.908440480211304	1.0112247491744517e-44	14.2	-1	0.0035785552364417388	accepted	n/a
PCA_25	29.628156167700762	15.876145365557305	0.16652499329499326	0.003970492450473591	4813	3853	0.6743114350016075	0.5514055694866042	1288	10.472342093925437	9.66960218500156e-21	24.4	-1	0.0028771386632912696	accepted	n/a
PCA_26	26.936987534491216	16.951907070604154	0.19570877390366073	0.0038412583385159854	4868	3795	0.6919312857886517	0.564855216184054	1131	-1.1722250381753963	0.24170770335751657	29.2	1	0.0027922580334451743	accepted	n/a
PCA_27	27.983750297473705	15.60602777036065	0.1847721092821829	0.0036563653698820963	5215	4248	0.7190729116368904	0.575592885375494	1160	7.366588017293101	1.187784382315508e-12	22.0	1	0.0027803909092643164	accepted	n/a
PCA_28	24.904520631063725	15.298784706648396	0.16970868716863347	0.003647071704253783	4250	3228	0.6758569299552906	0.5205523964256702	1281	3.629337115946068	0.0003651570270329789	29.8	1	0.0026111991478195945	accepted	n/a
PCA_29	21.97944365465494	15.496044089299188	0.20640599139589774	0.003507025523068595	4382	3269	0.6590519703026841	0.5273034917704968	1174	3.746514743572268	0.0002054892511964724	30.6	-1	0.0026051894977856135	accepted	n/a
PCA_30	27.36548070177476	13.928424788450824	0.19534880575070257	0.0034514721867122356	4039	2763	0.6460386774797255	0.47772369898914263	1380	6.2252691960013795	1.0439383050910089e-07	32.8	1	0.00247972639749999	accepted	n/a
PCA_31	21.135004696186613	14.799655904241014	0.1397762362781527	0.003358335523471883	3767	3258	0.636640798226164	0.49867786592004976	1309	3.4849819215038598	0.0006810303847476892	36.4	-1	0.0023993286795155103	accepted	n/a
PCA_32	24.448252834791965	14.873313577495832	0.13272446104077112	0.0031450550472066057	4133	3206	0.6832358674463938	0.5528455284552846	1355	0.956637289140104	0.3431462021863012	33.8	-1	0.0022187078679058374	accepted	n/a
PCA_33	23.634279201631134	13.890793514144951	0.1227164613185733	0.0030335879926282412	3884	2897	0.6596361718955972	0.4678298800436205	1386	1.03325922528616	0.3037067480605714	37.8	-1	0.00214264215197771	accepted	n/a
PCA_34	26.261519431023164	12.935215055702962	0.13289820547839978	0.0029723419481443624	4020	2482	0.6697756491051172	0.4911242603550296	1230	13.933067150717017	3.886703290200629e-34	23.8	1	0.002093460103818653	accepted	n/a
PCA_35	21.668113367823125	12.950034076258872	0.13264003066447835	0.0028561193889114936	3346	2421	0.6238978412891456	0.47407087294727746	1377	4.254372835231297	5.633515788265706e-05	38.3	-1	0.0020224802227194667	accepted	n/a
PCA_36	22.065879230984436	12.403841980833022	0.11651950406971394	0.0028081483406613484	3794	2544	0.669889502762431	0.48032619775739044	1263	0.9043808985858064	0.36672036418354814	33.9	-1	0.0019858806922731917	accepted	n/a
PCA_37	24.184380906013615	12.719639382222315	0.11771087989988968	0.002767599619446239	3475	2461	0.6698523023457863	0.49689183588893493	1268	6.568552357320531	4.5386382202654497e-10	30.0	1	0.002037418949791508	accepted	n/a
PCA_38	19.16145294023105	12.12299149597812	0.1371191776547301	0.0027275868355675103	2817	1822	0.5619775920327228	0.4255677039529016	1267	-0.36870554161869706	0.7126841538800162	42.8	-1	0.001929056636090004	accepted	n/a
PCA_39	18.894482034162	10.844781112795575	0.09812264772378347	0.0025933054865112442	2996	1722	0.6246164336856461	0.5025426263834879	1263	2.7701289565401517	0.005948661047931454	37.1	1	0.0018262409344666686	accepted	n/a
PCA_40	16.96440097643112	12.214679310226487	0.09976501570440775	0.0025421125269189005	2551	1907	0.6216326530612245	0.4730617608409987	1254	4.841989366639967	2.2746918099405185e-06	38.0	1	0.001790337610243549	accepted	n/a
PCA_41	18.168911347828864	11.901424415539333	0.10665480657446333	0.0025093876321820845	2717	1950	0.6091464543603037	0.4386422976501306	1350	2.6754754965081577	0.008735915268626682	41.8	-1	0.001767210974623166	accepted	n/a
PCA_42	19.849486750616627	11.507710177990209	0.11026606734658305	0.0023744675986189694	3338	2249	0.673757787570278	0.5273542600896861	1356	6.133974258865435	3.705502243853254e-08	34.0	-1	0.0016969928346868945	accepted	n/a
PCA_43	15.860299408931846	11.833797215075293	0.09211435736119915	0.0023503500620550297	2689	2073	0.5894422682335385	0.47520864015709374	1342	1.879345289711585	0.06356762476211399	43.6	1	0.0016628246901240643	accepted	n/a
PCA_44	18.281882403995166	10.768848954959553	0.08535386591131662	0.0023200992289684644	2858	1965	0.6401148188015787	0.4729116626634641	1354	5.925287805833908	1.1724753555376212e-07	37.4	-1	0.001635565953987237	accepted	n/a
PCA_45	16.20592873654524	10.498386260213728	0.0825987827398286	0.002275510498170605	2729	1584	0.6503945678106074	0.46523716699155293	1299	5.538918091786547	1.3473945001451292e-07	37.4	1	0.0016052335183049141	accepted	n/a
PCA_46	16.523374579434883	11.11513004095468	0.08244718765829465	0.0022733437971339033	2916	1819	0.6092833007291482	0.4746887966804979	1347	2.7347611734125894	0.00692694078148276	41.2	1	0.0016229954453758665	accepted	n/a
PCA_47	17.373800900415688	11.047953481211028	0.08084223200079793	0.0022328723278638037	2389	1631	0.6019868949482139	0.43277048155096937	1367	8.94910537198207	5.601789378070672e-13	39.2	-1	0.0015710047721352706	accepted	n/a
PCA_48	16.85795166901628	10.486917701372676	0.08604635076871535	0.0021596012798964356	2504	1575	0.5746084089035449	0.4376640419947507	1335	-0.5272949469468886	0.599021414375116	45.8	1	0.0015188371413652284	accepted	n/a
PCA_49	15.539352952011505	10.249116130421466	0.08429478049150173	0.00214557769617407	2182	1529	0.6438799076212471	0.42397856664434025	1377	2.8083955064426784	0.006742773847785076	43.1	1	0.0015110235199467057	accepted	n/a
PCA_50	14.759354196988419	9.725771225015322	0.07372202251702971	0.002059764286126206	2132	1341	0.5573770491803278	0.360908041554444	1430	0.0	0.0	50.0	-1	0.001457681765413469	accepted	n/a
PCA_51	14.040746611239106	9.223632567779706	0.06557760185968935	0.00199794570388523	1833	1190	0.5695179715798272	0.4063573883161512	1467	0.0	0.0	50.6	-1	0.0014139778061453487	accepted	n/a
PCA_52	14.407368135971222	10.701647500775232	0.07356414249652783	0.0019449518712907352	2089	1140	0.5738522954091816	0.42410910690717113	1469	0.6191459433189703	0.5409214132028113	49.6	-1	0.0013916100694546154	accepted	n/a
