Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_00	56.506558152746166	17.949131192937696	0.40260478695097635	0.004209717000217779	3722	2825	0.6814566764336543	0.5528888888888889	13.902562054431698	8.926251675827401e-39	1	n/a	rejected	Unlikely BOLD
ICA_01	124.54004069106568	19.716371799655956	0.7254265563183654	0.010934840034274492	4457	3208	0.7357891020360127	0.636698128299472	11.490272582259495	2.8456134671455172e-24	1	40.239335503105025	accepted	Likely BOLD
ICA_02	154.0438716101203	17.375577662333512	1.1632262598520746	0.015443102316953998	6115	4567	0.7817420435510888	0.6719945199223656	10.59943814434319	5.688244368134595e-23	1	26.86273120237098	accepted	Likely BOLD
ICA_03	22.684568418316843	25.673251115216942	1.0855463665796585	0.012387524434792477	3131	2713	0.44787268593699253	0.37021519710531325	-0.6816110470698991	0.49566865801869386	1	n/a	rejected	Unlikely BOLD
ICA_04	65.49915620685412	13.153821790283196	0.41122052800129555	0.006029758536691526	5872	3965	0.779002624671916	0.6365602340669126	17.264745662427828	2.2137035109139945e-59	1	n/a	rejected	Unlikely BOLD
ICA_05	27.753982491907518	14.389622919644061	0.7810603966432266	0.008283552686077124	3754	2076	0.5428610995706966	0.31553515341870014	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_06	38.66694039157154	20.05564798054118	6.173670515511341	0.05193579796326159	5148	3829	0.526723624081065	0.29848320693391117	-5.990423091643078	1.3137788196111626e-07	1	n/a	rejected	Unlikely BOLD
ICA_07	57.19754979757524	30.775364473909153	0.9780156803406709	0.011051929654318822	6872	6069	0.6201448321263989	0.4845117845117845	8.88070595976576	3.42717618240451e-17	1	n/a	rejected	Unlikely BOLD
ICA_08	131.36687630902367	17.207989201404647	0.9755210888760715	0.012233147146446873	6515	4806	0.7981852315394243	0.6822742474916388	12.60911520519204	2.616727290440872e-32	1	31.142330232547334	accepted	Likely BOLD
ICA_09	72.0102954002152	14.219053584582047	0.2434325983501952	0.004580654593711082	4488	2842	0.68646188850967	0.5676218288008761	20.25118683026544	1.5061745357343052e-73	1	27.141593870653182	accepted	Likely BOLD
ICA_10	23.48856364236509	28.74026067728242	0.7788715382720665	0.0038768489028503587	3337	2372	0.5874233128834356	0.4990345419437889	2.958806993847352	0.003298626231061193	1	n/a	rejected	Unlikely BOLD
ICA_11	22.91761613165161	16.59938141123722	0.7612619403502225	0.006697431740280079	3067	2410	0.5938063247583156	0.4109473684210526	-6.370393545417204	4.062762089624439e-09	1	n/a	rejected	Unlikely BOLD
ICA_12	66.33927428699819	15.470837353711529	0.38428127981614657	0.010802339338896617	4904	3397	0.696950578338591	0.5475974614687217	10.089267147473992	1.144891649167656e-21	1	n/a	rejected	Unlikely BOLD
ICA_13	40.64486979701833	15.095334357351149	0.1669349751069376	0.0037774973636724766	3472	2627	0.6466539756919022	0.5407825579131789	11.76537551812054	3.8933599063506867e-29	1	n/a	rejected	Unlikely BOLD
ICA_14	182.41980223912495	28.704775700099784	9.458016416813923	0.06475529610484294	7257	5183	0.759190532875849	0.6479798956118307	2.563635169842843	0.011802564071595174	1	35.43501823392846	accepted	Likely BOLD
ICA_15	40.64942019473297	33.8622096583335	0.7388356261717042	0.008391254235192606	6926	6076	0.6718796105045736	0.5257723087513984	5.415314492272156	3.900365684286174e-07	1	n/a	rejected	Unlikely BOLD
ICA_16	18.834044745878167	21.861188465159845	0.15714103678119234	0.0030895921408111457	2468	2849	0.5812105155899735	0.5388947553678283	1.4597082384448659	0.14489592522139588	1	n/a	rejected	Unlikely BOLD
ICA_17	25.620614389714362	30.95571358024582	0.8127669253308883	0.01197305820519245	4180	3843	0.5376903082064612	0.4676209952283572	-1.093425687732549	0.27446110408282304	1	n/a	rejected	Unlikely BOLD
ICA_18	115.55803855246225	18.311607248381993	0.605269306937061	0.008280768683868452	5818	4586	0.7852397198778955	0.6743515850144092	15.330914293766158	1.7186088968862854e-46	1	17.75614180791283	accepted	Likely BOLD
ICA_19	26.531191944152344	13.151865211966673	0.20251197914212335	0.003047351964880557	3683	2826	0.6655405405405406	0.5303003376577217	8.015545521110008	9.838836683241215e-15	1	n/a	rejected	Unlikely BOLD
ICA_20	63.325207373613374	16.163704843933488	0.40306085734768987	0.006130323622469677	4998	3570	0.7028466106901495	0.5782780295278468	15.206134769967841	1.200215355658148e-47	1	n/a	rejected	Unlikely BOLD
ICA_21	85.49294012152662	15.249517442546525	0.47290900610736963	0.005116342089372516	4983	3953	0.7705050505050505	0.6466476831478126	20.035131609336183	2.6217136244201886e-76	1	28.596628185021842	accepted	Likely BOLD
ICA_22	65.59102432369762	15.131097425756312	0.26225767961740176	0.004741434402260108	5008	3256	0.748351195383347	0.6405581100364675	17.0381755127285	3.1389711353111674e-58	1	n/a	rejected	Unlikely BOLD
ICA_23	48.430643895626744	15.339546392660415	0.2953752768354779	0.005555216945117927	5066	3345	0.7243809140326153	0.5739494541647974	14.48222252421912	1.8851784993256474e-43	1	n/a	rejected	Unlikely BOLD
ICA_24	31.874660349027643	26.11115533699921	1.1943962881116035	0.015187865272963199	4330	3866	0.5458812485332082	0.4458055925432756	4.34948191282042	1.485952457793915e-05	1	n/a	rejected	Unlikely BOLD
ICA_25	32.82809581007244	13.611984335996546	0.2956730824038485	0.004541509726266883	4151	2739	0.6494884425918909	0.46858398974171095	8.543926764105157	8.993616092608108e-17	1	n/a	rejected	Unlikely BOLD
ICA_26	23.39852861944096	15.510926716413694	0.16597580277861623	0.0025532228396646386	3017	1947	0.5653673680579511	0.38799793067770305	1.9591448427318614	0.0620220883049028	1	n/a	rejected	Unlikely BOLD
ICA_27	39.813925466503036	18.281632564296785	62.19600896641562	0.5979397319347293	6936	3927	0.5773933790635252	0.25116651113184907	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_28	89.93740947095516	16.1709040967112	0.6677651132583357	0.00949415945131228	5340	3917	0.7607989766801141	0.6578214143558445	18.796568271728194	2.092094143457962e-67	1	26.92356491966379	accepted	Likely BOLD
ICA_29	21.358404735359624	21.390238166890313	0.3113330983322002	0.005221309034263134	3115	3345	0.5407490757113005	0.5169202111145607	-1.5151893856584007	0.13034576627034228	1	n/a	rejected	Unlikely BOLD
ICA_30	149.38868056209128	19.38747961967789	2.02730869524515	0.020766231793140973	7471	5770	0.8066507646976288	0.7075504523312457	6.4196485274816535	2.3232278199006057e-10	1	38.65868803451832	accepted	Likely BOLD
ICA_31	69.57861466878882	18.591109799698472	0.4176101062363551	0.006432318613933996	5633	4507	0.7353677766440961	0.6486304445442299	16.00042888935503	4.479121076154379e-52	1	n/a	rejected	Unlikely BOLD
ICA_32	103.41975238631287	17.040014661185367	0.5377295031118647	0.007659007476438305	6419	4859	0.8138528138528138	0.6922255446390432	10.568795313555388	8.739305846244598e-25	1	20.8865869416605	accepted	Likely BOLD
ICA_33	102.4317379325703	16.357041867718472	0.676266783251912	0.009212596155051649	5716	4279	0.7728801236026538	0.6473235433443866	18.95658439950442	5.1329362220601684e-70	1	29.720483109428265	accepted	Likely BOLD
ICA_34	80.44060757361407	16.297813259776625	0.5933764147849467	0.007416792963888881	5528	4153	0.7651177593889242	0.6594928880643166	16.36673563876953	7.564489437692951e-55	1	20.33852172672971	accepted	Likely BOLD
ICA_35	107.03153595562581	18.819790299569203	1.6759829291122168	0.017125461759269246	6562	5284	0.8081821690467001	0.7057907542579075	11.409240711790194	1.1115564412458808e-27	1	19.661273779980494	accepted	Likely BOLD
ICA_36	38.67183423877733	12.92780873833685	0.40530720738981935	0.0056837327719033	4930	3356	0.7268576172685761	0.5765252585819217	13.277709538591866	3.6504032758240954e-35	1	n/a	rejected	Unlikely BOLD
ICA_37	21.407916427653934	14.704514966019982	0.18155400436894983	0.003060961185532392	4041	2606	0.652352789920288	0.5267249757045676	5.321823752149672	2.51837869649406e-07	-1	n/a	rejected	Unlikely BOLD
ICA_38	21.00193359960027	13.175034161955926	0.21449338314445862	0.004380318915188289	3500	2693	0.6635798003183331	0.5103812759531898	7.967020715187357	5.607743413916716e-15	1	n/a	rejected	Unlikely BOLD
